sp,taxo,group_kernels,group_detection,group_atlas
Bell's Vireo,17778,,,
Bell's Vireo,17779,,,
Hutton's Vireo,17786.5,,,
Hutton's Vireo,17787,,,
Yellow-throated Vireo,17788,,,
Cassin's Vireo,17797,,,
Cassin's Vireo,17798,,,
Blue-headed Vireo,17801,,,
Cassin's/Blue-headed Vireo,17804,,,
Plumbeous Vireo,17804.2,,,
solitary vireo sp.,17805,,,
Philadelphia Vireo,17827.8,,,
Warbling Vireo,17828,,,
Warbling Vireo,17829,,,
Warbling Vireo,17830,,,
Philadelphia/Warbling Vireo,17833,,,
Red-eyed Vireo,17850,,,
Red-eyed Vireo,17851,,,
Philadelphia/Red-eyed Vireo,17862.5,,,
Yellow-green Vireo,17864,,,
vireo sp.,17878,,,
Gray Jay,18722,,,
Gray Jay,18723,,,
Gray Jay,18728,,,
Gray Jay,18731,,,
Steller's Jay,18816,,,
Steller's Jay,18820,,,
Steller's Jay,18824,,,
Blue Jay,18831,,,
California Scrub-Jay,18840,,,
jay sp.,18919.5,,,
Black-billed Magpie,19000,,,
Clark's Nutcracker,19007,,,
Eurasian Jackdaw,19032,,,
American Crow,19073,passerines,,
Northwestern Crow,19078,passerines,,
American/Northwestern Crow,19079,passerines,,
Fish Crow,19087,passerines,,
Chihuahuan Raven,19089,passerines,,
Carrion Crow,19090,passerines,,
crow sp.,19119,passerines,,
Common Raven,19134,passerines,,
raven sp.,19143,passerines,,
crow/raven sp.,19143.5,passerines,,
Horned Lark,19870,passerines,,
Horned Lark,19886,passerines,,
Horned Lark,19891,passerines,,
Eurasian Skylark,19916.868,passerines,,
Eurasian Skylark,19916.87,passerines,,
Black-capped Swallow,19934,,,
Northern Rough-winged Swallow,19940,,,
Northern Rough-winged Swallow,19941,,,
Purple Martin,19953,,,
Purple Martin,19954,,,
Tree Swallow,19972,passerines,,
Violet-green Swallow,19981,,,
Tree/Violet-green Swallow,19983.7,,,
Tachycineta sp.,19984.5,,,
Bank Swallow,19996,,,
Barn Swallow,20037,,,
Barn Swallow,20039,,,
Barn Swallow,20043,,,
Barn Swallow,20045,,,
Cliff Swallow,20122,,,
Cliff Swallow,20123,,,
Cave Swallow,20128,,,
Cave Swallow,20129,,,
Cave Swallow,20134,,,
Cliff/Cave Swallow,20136,,,
swallow sp.,20176,,,
Carolina Chickadee,20240,,,
Black-capped Chickadee,20246,,,
Carolina x Black-capped Chickadee (hybrid),20256,,,
Carolina/Black-capped Chickadee,20256.5,,,
Mountain Chickadee,20258,,,
Mountain Chickadee,20259,,,
Mountain Chickadee,20263,,,
Black-capped x Mountain Chickadee (hybrid),20267,,,
Chestnut-backed Chickadee,20275,,,
Boreal Chickadee,20279,,,
Gray-headed Chickadee,20285,,,
chickadee sp.,20290,,,
Eurasian Blue Tit,20429,,,
Tufted Titmouse,20484,,,
Tufted/Black-crested Titmouse,20490,,,
Great Tit,20500.004,,,
Bushtit,20708,,,
Bushtit,20709,,,
Red-breasted Nuthatch,20757,,,
White-breasted Nuthatch,20761,,,
White-breasted Nuthatch,20762,,,
White-breasted Nuthatch,20763,,,
White-breasted Nuthatch,20768,,,
Pygmy Nuthatch,20773,,,
nuthatch sp.,20827,,,
Brown Creeper,20846,,,
Brown Creeper,20847,,,
Brown Creeper,20855,,,
Rock Wren,20884.1,,,
Rock Wren,20884.2,,,
Canyon Wren,20904,,,
House Wren,21138,,,
House Wren,21139,,,
Pacific Wren,21229,,,
Pacific Wren,21239,,,
Winter Wren,21245,,,
Pacific/Winter Wren,21247.1,,,
Sedge Wren,21248,passerines,,
Sedge Wren,21249,passerines,,
Marsh Wren,21276,passerines,,
Marsh Wren,21277,passerines,,
Marsh Wren,21282,passerines,,
Marsh Wren,21286,passerines,,
Carolina Wren,21319,,,
Carolina Wren,21320,,,
Bewick's Wren,21330,,,
Bewick's Wren,21330.2,,,
Bewick's Wren,21331,,,
wren sp.,21374.73,,,
Blue-gray Gnatcatcher,21403,,,
Blue-gray Gnatcatcher,21404,,,
American Dipper,21475,,,
American Dipper,21476,,,
Golden-crowned Kinglet,21932,,,
Ruby-crowned Kinglet,21939,,,
kinglet sp.,21963,,,
Wood Warbler,22015,,,
Bluethroat,23403.0592,,,
Siberian Rubythroat,23403.0645,,,
Red-flanked Bluetail,23403.0662,,,
Northern Wheatear,23403.097,,,
Northern Wheatear,23403.0971,,,
Eastern Bluebird,24482,,,
Eastern Bluebird,24483,,,
Western Bluebird,24491,,,
Mountain Bluebird,24499,,,
Eastern x Mountain Bluebird (hybrid),24499.3,,,
bluebird sp.,24500,,,
Townsend's Solitaire,24501,,,
Veery,24592,,,
Gray-cheeked Thrush,24597,,,
Bicknell's Thrush,24600,,,
Gray-cheeked/Bicknell's Thrush,24601,,,
Swainson's Thrush,24602,,,
Swainson's Thrush,24603,,,
Swainson's Thrush,24607,,,
Hermit Thrush,24608,,,
Hermit Thrush,24609,,,
Hermit Thrush,24614,,,
Hermit Thrush,24618,,,
Catharus sp.,24621,,,
Wood Thrush,24622,,,
Eurasian Blackbird,24687,,,
Dusky Thrush,24770,,,
Fieldfare,24773,,,
Redwing,24774,,,
Redwing,24776,,,
American Robin,24903,passerines,,
American Robin,24904,passerines,,
American Robin,24905,passerines,,
Turdus sp.,24932,,,
Varied Thrush,24933,,,
American Robin/Varied Thrush,24936.5,,,
thrush sp.,24993,,,
Gray Catbird,26358,,,
Curve-billed Thrasher,26380,,,
Brown Thrasher,26393,,,
Sage Thrasher,26423,,,
Northern Mockingbird,26464,,,
Common Hill Myna,26568,,,
European Starling,26621,,,
White-cheeked Starling,26647,,,
Common Myna,26648,,,
Crested Myna,26667.5,,,
Siberian Accentor,27451,,,
Western Yellow Wagtail,27480,,,
Eastern Yellow Wagtail,27495,,,
Citrine Wagtail,27501,,,
White Wagtail,27518,,,
White Wagtail,27522,,,
Red-throated Pipit,27660,,,
American Pipit,27669,passerines,,
American Pipit,27671,passerines,,
Sprague's Pipit,27675,,,
pipit sp.,27712,,,
Bohemian Waxwing,27734,,,
Cedar Waxwing,27738,,,
Bohemian/Cedar Waxwing,27739,,,
Phainopepla,27755,,,
Lapland Longspur,27763.5,passerines,,
Chestnut-collared Longspur,27764,,,
Smith's Longspur,27765,,,
McCown's Longspur,27766,,,
longspur sp.,27766.3,,,
Snow Bunting,27766.4,passerines,,
McKay's Bunting,27768,,,
Snow x McKay's Bunting (hybrid),27768.5,,,
Snow/McKay's Bunting,27768.7,,,
Ovenbird,27769,,,
Worm-eating Warbler,27772,,,
Louisiana Waterthrush,27773,,,
Northern Waterthrush,27774,,,
Louisiana/Northern Waterthrush,27775,,,
Golden-winged Warbler,27776.5,,,
Blue-winged Warbler,27777,,,
Golden-winged x Blue-winged Warbler (hybrid),27781.1,,,
Brewster's Warbler (hybrid),27781.2,,,
Lawrence's Warbler (hybrid),27781.4,,,
Golden-winged/Blue-winged Warbler,27781.5,,,
Black-and-white Warbler,27782,,,
Prothonotary Warbler,27783,,,
Swainson's Warbler,27784,,,
Tennessee Warbler,27792,,,
Orange-crowned Warbler,27793,,,
Orange-crowned Warbler,27793.5,,,
Orange-crowned Warbler,27794,,,
Orange-crowned Warbler,27795,,,
Orange-crowned Warbler,27796,,,
Lucy's Warbler,27800,,,
Nashville Warbler,27801,,,
Nashville Warbler,27802,,,
Nashville Warbler,27803,,,
Virginia's Warbler,27804,,,
Oreothlypis sp.,27805,,,
Connecticut Warbler,27807,,,
MacGillivray's Warbler,27822,,,
Mourning Warbler,27824,,,
MacGillivray's/Mourning Warbler,27824.4,,,
Kentucky Warbler,27825,,,
Common Yellowthroat,27838,,,
Common Yellowthroat,27838.5,,,
Common Yellowthroat,27842,,,
Common Yellowthroat,27848,,,
Mourning Warbler x Common Yellowthroat (hybrid),27851.4,,,
Hooded Warbler,27860,,,
American Redstart,27861,,,
Kirtland's Warbler,27862,,,
Cape May Warbler,27863,,,
Cerulean Warbler,27864,,,
Northern Parula,27865,,,
Magnolia Warbler,27882,,,
Nashville x Magnolia Warbler (hybrid),27882.2,,,
Bay-breasted Warbler,27883,,,
Blackburnian Warbler,27884,,,
Yellow Warbler,27885,,,
Yellow Warbler,27886,,,
Chestnut-sided Warbler,27923,,,
Magnolia x Chestnut-sided Warbler (hybrid),27923.5,,,
Blackpoll Warbler,27924,,,
Bay-breasted/Blackpoll Warbler,27925,,,
Black-throated Blue Warbler,27926,,,
Palm Warbler,27929,,,
Palm Warbler,27930,,,
Palm Warbler,27931,,,
Pine Warbler,27933,,,
Yellow-rumped Warbler,27938,,,
Yellow-rumped Warbler,27939,,,
Yellow-rumped Warbler,27941,,,
Yellow-rumped Warbler,27941.5,,,
Magnolia x Yellow-rumped Warbler (hybrid),27943.3,,,
Palm x Yellow-rumped Warbler (hybrid),27943.5,,,
Yellow-throated Warbler,27946,,,
Yellow-throated Warbler,27947,,,
Yellow-throated Warbler,27948,,,
Prairie Warbler,27956,,,
Grace's Warbler,27962,,,
Black-throated Gray Warbler,27968,,,
Townsend's Warbler,27971,,,
Hermit Warbler,27973,,,
Townsend's x Hermit Warbler (hybrid),27973.5,,,
Townsend's/Hermit Warbler,27975,,,
Black-throated Green Warbler,27977,,,
Townsend's x Black-throated Green Warbler (hybrid),27977.5,,,
Setophaga sp.,27978,,,
Canada Warbler,28090,,,
Wilson's Warbler,28091,,,
Wilson's Warbler,28092,,,
Wilson's Warbler,28093,,,
Wilson's Warbler,28094,,,
Painted Redstart,28101,,,
Yellow-breasted Chat,28138,,,
Yellow-breasted Chat,28139,,,
Yellow-breasted Chat,28140,,,
warbler sp. (Parulidae sp.),28149,,,
Red-crested Cardinal,28193.1,,,
Cassin's Sparrow,29493,,,
Bachman's Sparrow,29498,,,
Grasshopper Sparrow,29499,,,
Grasshopper Sparrow,29500,,,
Grasshopper Sparrow,29501,,,
Baird's Sparrow,29505,,,
Henslow's Sparrow,29506,,,
Le Conte's Sparrow,29507,passerines,,
Nelson's Sparrow,29508,passerines,,
Nelson's Sparrow,29509,passerines,,
Nelson's Sparrow,29510,passerines,,
Saltmarsh Sparrow,29511,passerines,,
Nelson's/Saltmarsh Sparrow (Sharp-tailed Sparrow),29513,passerines,,
Seaside Sparrow,29514,passerines,,
Ammodramus sp.,29519,passerines,,
American Tree Sparrow,29553,,,
Chipping Sparrow,29554,,,
Clay-colored Sparrow,29719,,,
Chipping x Clay-colored Sparrow (hybrid),29720,,,
Field Sparrow,29726,,,
Brewer's Sparrow,29728,,,
Brewer's Sparrow,29729,,,
Brewer's Sparrow,29730,,,
Spizella sp.,29735,,,
American Tree Sparrow/Spizella sp.,29735.2,,,
Black-throated Sparrow,29743,,,
Lark Sparrow,29745,,,
Lark Bunting,29761,,,
Fox Sparrow,29840,,,
Fox Sparrow,29841,,,
Fox Sparrow,29855,,,
Fox Sparrow,29861,,,
Dark-eyed Junco,29958,,,
Dark-eyed Junco,29958.5,,,
Dark-eyed Junco,29959,,,
Dark-eyed Junco,29962,,,
Dark-eyed Junco,29963,,,
Dark-eyed Junco,29972,,,
Dark-eyed Junco,29975,,,
Dark-eyed Junco,29976,,,
Dark-eyed/Yellow-eyed Junco,29984.02,,,
White-crowned Sparrow,29984.05,,,
White-crowned Sparrow,29984.06,,,
White-crowned Sparrow,29984.07,,,
White-crowned Sparrow,29984.08,,,
White-crowned Sparrow,29984.09,,,
White-crowned Sparrow,29984.12,,,
Golden-crowned Sparrow,29984.13,,,
White-crowned x Golden-crowned Sparrow (hybrid),29984.14,,,
Harris's Sparrow,29984.15,,,
White-throated Sparrow,29984.17,,,
White-crowned/White-throated Sparrow,29984.19,,,
Golden-crowned x White-throated Sparrow (hybrid),29984.2,,,
Zonotrichia sp.,29984.21,,,
Dark-eyed Junco x White-throated Sparrow (hybrid),29984.22,,,
Sagebrush Sparrow,29984.23,,,
Vesper Sparrow,29984.31,,,
Savannah Sparrow,29984.32,passerines,,
Savannah Sparrow,29984.33,passerines,,
Savannah Sparrow,29984.34,passerines,,
Song Sparrow,29984.39,,,
Song Sparrow,29984.4,,,
Song Sparrow,29984.41,,,
Song Sparrow,29984.42,,,
Lincoln's Sparrow,29984.49,,,
Swamp Sparrow,29984.5,passerines,,
Lincoln's/Swamp Sparrow,29984.52,,,
Green-tailed Towhee,29984.68,,,
Spotted Towhee,29984.69,,,
Spotted Towhee,29984.7,,,
Spotted Towhee,29984.71,,,
Spotted Towhee,29984.72,,,
Eastern Towhee,29984.76,,,
Eastern Towhee,29984.77,,,
Spotted x Eastern Towhee (hybrid),29984.79,,,
Spotted/Eastern Towhee (Rufous-sided Towhee),29984.8,,,
towhee sp.,29984.83,,,
sparrow sp.,29986,,,
Rustic Bunting,30075,,,
Hepatic Tanager,30141,,,
Summer Tanager,30160,,,
Scarlet Tanager,30163,,,
Western Tanager,30164,,,
tanager sp. (Piranga sp.),30180,,,
Northern Cardinal,30233,,,
Northern Cardinal,30234,,,
Pyrrhuloxia,30253,,,
Black-backed Grosbeak,30266,,,
Rose-breasted Grosbeak,30273,,,
Black-headed Grosbeak,30275,,,
Rose-breasted x Black-headed Grosbeak (hybrid),30277.5,,,
Rose-breasted/Black-headed Grosbeak,30278,,,
Blue Grosbeak,30312,,,
Lazuli Bunting,30320,,,
Indigo Bunting,30322,,,
Lazuli x Indigo Bunting (hybrid),30322.5,,,
Lazuli/Indigo Bunting,30323,,,
Varied Bunting,30328,,,
Painted Bunting,30333,,,
Passerina sp.,30336,,,
Dickcissel,30337,,,
Bobolink,30338,,,
Red-winged Blackbird,30339,passerines,,
Red-winged Blackbird,30340,passerines,,
Western Meadowlark,30377,,,
Eastern Meadowlark,30387,,,
Eastern Meadowlark,30389,,,
Eastern Meadowlark,30404.5,,,
Western/Eastern Meadowlark,30409,,,
Yellow-headed Blackbird,30410,passerines,,
Rusty Blackbird,30416,passerines,,
Brewer's Blackbird,30419,,,
Rusty/Brewer's Blackbird,30420,,,
Common Grackle,30421,passerines,,
Common Grackle,30422,passerines,,
Common Grackle,30425,passerines,,
Great-tailed Grackle,30432,,,
Boat-tailed/Great-tailed Grackle,30441,,,
grackle sp.,30461,passerines,,
Bronzed Cowbird,30515,,,
Brown-headed Cowbird,30521,,,
Orchard Oriole,30546,,,
Orchard Oriole,30547,,,
Hooded Oriole,30549,,,
Hooded Oriole,30550,,,
Bullock's Oriole,30600,,,
Baltimore Oriole,30632,,,
Bullock's x Baltimore Oriole (hybrid),30632.5,,,
Bullock's/Baltimore Oriole,30633,,,
Bullock's/Black-backed Oriole,30635,,,
Scott's Oriole,30636,,,
new world oriole sp.,30637,,,
blackbird sp.,30693,,,
Common Chaffinch,30694,,,
Common Chaffinch,30695,,,
Brambling,30714,,,
Gray-crowned Rosy-Finch,30825,,,
Gray-crowned Rosy-Finch,30828,,,
Gray-crowned Rosy-Finch,30829,,,
Gold-naped Finch,30837,,,
Pine Grosbeak,30849,,,
House Finch,30866,,,
House Finch,30867,,,
Purple Finch,30878.4,,,
Purple Finch,30878.6,,,
Purple Finch,30878.7,,,
House/Purple Finch,30878.8,,,
Cassin's Finch,30878.9,,,
Haemorhous sp.,30880.5,,,
rosefinch sp.,30942,,,
European Greenfinch,30954,,,
Oriental Greenfinch,30961,,,
Red Crossbill,30973,,,
Red Crossbill,30985.1,,,
Red Crossbill,30985.2,,,
Red Crossbill,30995,,,
Red Crossbill,30996,,,
Red Crossbill,30997,,,
Red Crossbill,30998,,,
Red Crossbill,30999,,,
Red Crossbill,31001,,,
Red Crossbill,31002,,,
Red Crossbill,31003,,,
White-winged Crossbill,31005,,,
White-winged Crossbill,31007,,,
crossbill sp.,31008,,,
Common Redpoll,31009,,,
Common Redpoll,31010,,,
Common Redpoll,31011,,,
Hoary Redpoll,31016,,,
Hoary Redpoll,31017,,,
Hoary Redpoll,31018,,,
Common/Hoary Redpoll,31019,,,
redpoll sp.,31019.5,,,
Eurasian Siskin,31020,,,
Pine Siskin,31021,,,
Pine Siskin,31022,,,
Pine Siskin,31025.2,,,
Lesser Goldfinch,31032,,,
American Goldfinch,31039,,,
Spinus sp.,31073,,,
Acanthis/Spinus sp.,31074,,,
European Goldfinch,31075,,,
Carduelis sp.,31108.5,,,
Yellow-fronted Canary,31142,,,
Evening Grosbeak,31273,,,
Evening Grosbeak,31276.1,,,
finch sp.,31340,,,
House Sparrow,31345,,,
Eurasian Tree Sparrow,31403,,,
House x Eurasian Tree Sparrow (hybrid),31412,,,
Northern Red Bishop,31681,,,
Southern Red Bishop,31682,,,
Common Waxbill,31809,,,
Red-cheeked Cordonbleu,31856,,,
Red-headed Finch,31926,,,
Zebra Finch,31975.5,,,
Double-barred Finch,31978,,,
White-rumped Munia,32043,,,
Scaly-breasted Munia,32057,,,
Java Sparrow,32143,,,
passerine sp.,32181,,,
bird sp.,34000,,,
Aleutian Tern,,seabirds_larids,,
American Green-winged Teal,,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
American/Pacific Golden Plover,,shorebirds_waders,,
Baltimore Oriole,,,,
Black & White Warbler,,,,
Black Storm-petrel,,seabirds_pelagics,,
Black-crowned Night Heron,,shorebirds_waders,,
Black-vented Shearwater,,seabirds_pelagics,,
Bonin Petrel,,seabirds_pelagics,,
Bridled Tern,,seabirds_larids,,
Christmas Shearwater,,seabirds_pelagics,,
European Storm-Petrel,,seabirds_pelagics,,
Family: Albatrosses,,seabirds_pelagics,,
Family: Auks,,seabirds_alcids,Alcids,Alcids
Family: Blackbirds,,,,
Family: Cardinals And Buntings,,,,
Family: Cormorants and Shags,,waterfowl_diving,Waterfowl,Diving Waterfowl
Family: Crows and Jays,,,,
Family: Cuckoos,,,,
Family: Doves and Pigeons,,,,
Family: Ducks,,,,
Family: Falcons,,,,
Family: Finches,,,,
Family: Gannets,,,Gannets,Gannets
Family: Grebes,,waterfowl_diving,Waterfowl,Diving Waterfowl
Family: Grouse and Ptarmigan,,,,
Family: Gulls,,,,
Family: Hawks (Accipiter),,raptors,,
Family: Herons,,shorebirds_waders,,
Family: Hummingbirds,,,,
Family: Hydrobatid Storm-Petrels,,seabirds_pelagics,Storm-Petrels,Storm-Petrels
Family: Jaegers and Skuas,,seabirds_larids,Jaegers,Jaegers
Family: Kingfishers,,passerines,,
Family: Kinglets,,,,
Family: Larks,,,,
Family: Loons,,waterfowl_diving,Waterfowl,Diving Waterfowl
Family: Mimic Thrushes,,,,
Family: Nuthatches,,,,
Family: Oystercatchers,,shorebirds_waders,,
Family: Pelicans,,seabirds_pelagics,,
Family: Pipits,,passerines,,
Family: Plovers,,shorebirds_waders,,
Family: Rails,,shorebirds_waders,,
Family: Sandpipers,,shorebirds_waders,,
Family: Shearwaters,,,Shearwaters,Shearwaters
Family: Sparrows,,,,
Family: Starlings,,,,
Family: Swallows,,,,
Family: Tanagers,,,,
Family: Terns and Noddies,,seabirds_larids,Terns,Terns
Family: Thrushes,,,,
Family: Tyrannidae,,,,
Family: Unknown Shorebird,,shorebirds_waders,,
Family: Vireos,,,,
Family: Warblers,,,,
Family: Waxwings,,,,
Family: Weaver Finches,,,,
Family: Woodpeckers,,,,
Family: Wren,,,,
Flesh-footed Shearwater,,,,
Genus: Boobies,,seabirds_pelagics,Gannets,Gannets
Genus: Cormorants,,waterfowl_diving,Waterfowl,Diving Waterfowl
Genus: Cuckoos (Coccyzus),,,,
Genus: Doves (Columba),,,,
Genus: Doves (Zenaida),,,,
Genus: Dowitchers,,shorebirds_waders,,
Genus: Ducks,,waterfowl_dabbling,Waterfowl,
Genus: Eiders,,waterfowl_diving,Waterfowl,Diving Waterfowl
Genus: Eiders or Scoters,,waterfowl_diving,Waterfowl,Diving Waterfowl
Genus: Empidonax flycatchers,,,,
Genus: Frigatebirds,,seabirds_pelagics,,
Genus: Fulmars,,seabirds_pelagics,Shearwaters,Shearwaters
Genus: Geese,,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Genus: Godwits,,shorebirds_waders,,
Genus: Goldeneye and Bufflehead,,waterfowl_diving,Waterfowl,Diving Waterfowl
Genus: Guillemots,,seabirds_alcids,Alcids,Alcids
Genus: Gulls (Larus),,seabirds_larids,Gulls,Gulls
Genus: Gulls,,,Gulls,Gulls
Genus: Gulls white-winged (Iceland or Glaucous),,seabirds_larids,Gulls,Gulls
Genus: Hawks (Buteos),,,,
Genus: Jaegers,,seabirds_larids,Jaegers,Jaegers
Genus: Kingfishers,,,,
Genus: Kittiwakes,,seabirds_larids,Gulls,Gulls
Genus: Mergansers,,waterfowl_diving,Waterfowl,Diving Waterfowl
Genus: Murrelets (Synthliboramphus and Brachyramphus ),,seabirds_alcids,Alcids,Alcids
Genus: Murres,,seabirds_alcids,Alcids,Alcids
Genus: Noddies,,seabirds_pelagics,Terns,Terns
Genus: Oystercatchers,,shorebirds_waders,,
Genus: Petrels (Pterodroma),,seabirds_pelagics,,
Genus: Phalaropes,,shorebirds_waders,Phalaropes,Phalaropes
Genus: Plovers (Charadrius),,shorebirds_waders,,
Genus: Plovers (Pluvialis),,shorebirds_waders,,
Genus: Puffins,,seabirds_alcids,Alcids,Alcids
Genus: Redpoll (Common or Hoary),,,,
Genus: Redpolls,,,,
Genus: Sandpipers (Calidris),,shorebirds_waders,,
Genus: Sandpipers or Phalaropes,,shorebirds_waders,,
Genus: Scaup,,waterfowl_diving,Waterfowl,Diving Waterfowl
Genus: Scoters,,waterfowl_diving,Waterfowl,Diving Waterfowl
Genus: Shearwaters (Calonectris),,seabirds_pelagics,Shearwaters,Shearwaters
Genus: Shearwaters (Puffinus or Calonectris),,seabirds_pelagics,Shearwaters,Shearwaters
Genus: Shearwaters (Puffinus),,seabirds_pelagics,Shearwaters,Shearwaters
Genus: Shorebirds (Tringa) Yellowlegs,,shorebirds_waders,,
Genus: Shorebirds (Whimbrel and Curlews),,shorebirds_waders,,
Genus: Skuas,,seabirds_larids,Jaegers,Jaegers
Genus: Small gull,,,Gulls,Gulls
Genus: Snipes,,shorebirds_waders,,
Genus: Storm-Petrels (Fregetta),,seabirds_pelagics,Storm-Petrels,Storm-Petrels
Genus: Storm-Petrels (Oceanites),,seabirds_pelagics,Storm-Petrels,Storm-Petrels
Genus: Storm-Petrels (Oceanodroma),,seabirds_pelagics,Storm-Petrels,Storm-Petrels
Genus: Terns (Childonias),,seabirds_larids,Terns,Terns
Genus: Terns (Common or Arctic),,seabirds_larids,Terns,Terns
Genus: Terns (Sterna),,seabirds_larids,Terns,Terns
Genus: Terns (all genera),,seabirds_larids,Terns,Terns
Genus: Tropicbirds,,,,
Great Frigatebird,,seabirds_pelagics,,
Harcourt's Petrel,,,,
Hawaiian Petrel or Galapagos Petrel,,seabirds_pelagics,,
Herald Petrel,,seabirds_pelagics,,
Herald Petrel,,,,
Herald Petrel,,,,
Iceland Gull - glaucoides ssp.,,seabirds_larids,Gulls,Gulls
Iceland Gull/Kumlien's  Gull - kumlieni ssp.,,seabirds_larids,Gulls,Gulls
Ipswich Sparrow,,,,
Juan Fernandez Petrel,,seabirds_pelagics,,
Least Auklet,,seabirds_alcids,,
Least Storm-petrel,,seabirds_pelagics,,
Lesser Noddy,,seabirds_larids,,
Lincolns Sparrow,,,,
Little Shearwater,,,,
Magnificent Frigatebird,,,,
Masked Booby,,seabirds_pelagics,,
Mew Gull,,,,
Murre or Razorbill,,seabirds_alcids,Alcids,Alcids
Myrtle Warbler,,,,
Nashville warbler,,,,
Orage-crowned Warbler,,,,
Order: Albatrosses,,,,
Storm-Petrels,,seabirds_pelagics,Storm-Petrels,Storm-Petrels
Order: Birds of Prey,,,,
Order: Cuckoos and Anis,,,,
Order: Doves and Pigeon,,,,
Order: Herons,,,,
Order: Kingfishers,,,,
Order: Loons,,waterfowl_diving,Waterfowl,Diving Waterfowl
Order: Owls,,,,
Order: Passerines,,,,
Order: Pelicans,,,,
 Cormorants,,,,
Order: Pheasants,,,,
Order: Rails and Cranes,,shorebirds_waders,,
Order: Shorebirds,,,,
Order: Waterfowl,,,,
Polynesian Storm-Petrel,,seabirds_pelagics,,
Red-billed Tropicbird,,,,
Red-footed Booby,,seabirds_pelagics,,
Rufous-sided Towhee,,,,
Shag,,,,
Slate-colored Junco,,,,
Solander's Petrel,,seabirds_pelagics,,
Sooty Gull,,,,
Sooty Tern,,,,
Spectacled Guillemot,,,,
Streaked Shearwater,,seabirds_pelagics,,
Swainsons Thrush,,,,
Tahiti Petrel,,seabirds_pelagics,,
Townsend's Shearwater,,seabirds_pelagics,,
Unknown Bird,,,,
Unknown Songbird,,,,
Vega Gull,,seabirds_larids,,
Wedge-rumped Storm-petrel,,seabirds_pelagics,,
Wedge-tailed Shearwater,,seabirds_pelagics,,
Western-Glaucous-winged Gull (Hybrid),,seabirds_larids,,
Whiskered Auklet,,seabirds_alcids,,
White Tern,,,,
White-bellied Storm-petrel,,seabirds_pelagics,,
White-cheeked Tern,,seabirds_larids,,
White-tailed Eagle,,,,
White-winged  Tern,,seabirds_larids,,
Wilson's Storm Petrel,,seabirds_pelagics,Storm-Petrels,Storm-Petrels
Wilsons Snipe,,shorebirds_waders,,
Xantus's Murrelet,,seabirds_alcids,,
Yelkouan Shearwater,,seabirds_pelagics,,
Yellow Wagtail,,,,
Seaduck sp,,waterfowl_diving,,
Goldeneyes sp,,waterfowl_diving,,
Scaup sp,,waterfowl_diving,,
Diver sp,,waterfowl_diving,,
Auk sp,,seabirds_alcids,,
Sandpiper sp,,shorebirds_waders,,
Dabbler sp,,waterfowl_dabbling,,
Mallard x Black duck,,waterfowl_dabbling,,
Snow Goose (blue morph),,waterfowl_dabbling,,
Common Moorhen,,waterfowl_dabbling,,
